Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
1.0000 -0.1587 -0.1593 0.3700 0.0000 0.0000
1.0000 -0.1587 -0.1593 0.6450 0.0000 0.0000
1.0000 -0.1587 -0.1593 0.9200 0.0000 0.0000
2.0000 -0.1547 -0.1593 0.3700 0.0000 0.0000
2.0000 -0.1547 -0.1593 0.6450 0.0000 0.0000
2.0000 -0.1547 -0.1593 0.9200 0.0000 0.0000
3.0000 -0.1506 -0.1593 0.3700 0.0000 0.0000
3.0000 -0.1506 -0.1593 0.6450 0.0000 0.0000
3.0000 -0.1506 -0.1593 0.9200 0.0000 0.0000
4.0000 -0.1465 -0.1593 0.3700 0.0000 0.0000
4.0000 -0.1465 -0.1593 0.6450 0.0000 0.0000
4.0000 -0.1465 -0.1593 0.9200 0.0000 0.0000
5.0000 -0.1425 -0.1593 0.3700 0.0000 0.0000
5.0000 -0.1425 -0.1593 0.6450 0.0000 0.0000
5.0000 -0.1425 -0.1593 0.9200 0.0000 0.0000
6.0000 -0.1384 -0.1593 0.3700 0.0000 0.0000
6.0000 -0.1384 -0.1593 0.6450 0.0000 0.0000
6.0000 -0.1384 -0.1593 0.9200 0.0000 0.0000
7.0000 -0.1343 -0.1593 0.3700 0.0000 0.0000
7.0000 -0.1343 -0.1593 0.6450 0.0000 0.0000
7.0000 -0.1343 -0.1593 0.9200 0.0000 0.0000
8.0000 -0.1303 -0.1593 0.3700 0.0000 0.0000
8.0000 -0.1303 -0.1593 0.6450 0.0000 0.0000
8.0000 -0.1303 -0.1593 0.9200 0.0000 0.0000
9.0000 -0.1262 -0.1593 0.3700 0.0000 0.0000
9.0000 -0.1262 -0.1593 0.6450 0.0000 0.0000
9.0000 -0.1262 -0.1593 0.9200 0.0000 0.0000
10.0000 -0.1221 -0.1593 0.3700 0.0000 0.0000
10.0000 -0.1221 -0.1593 0.6450 0.0000 0.0000
10.0000 -0.1221 -0.1593 0.9200 0.0000 0.0000
11.0000 -0.1180 -0.1593 0.3700 0.0000 0.0000
11.0000 -0.1180 -0.1593 0.6450 0.0000 0.0000
11.0000 -0.1180 -0.1593 0.9200 0.0000 0.0000
12.0000 -0.1140 -0.1593 0.3700 0.0000 0.0000
12.0000 -0.1140 -0.1593 0.6450 0.0000 0.0000
12.0000 -0.1140 -0.1593 0.9200 0.0000 0.0000
13.0000 -0.1099 -0.1593 0.3700 0.0000 0.0000
13.0000 -0.1099 -0.1593 0.6450 0.0000 0.0000
13.0000 -0.1099 -0.1593 0.9200 0.0000 0.0000
14.0000 -0.1058 -0.1593 0.3700 0.0000 0.0000
14.0000 -0.1058 -0.1593 0.6450 0.0000 0.0000
14.0000 -0.1058 -0.1593 0.9200 0.0000 0.0000
15.0000 -0.1018 -0.1593 0.3700 0.0000 0.0000
15.0000 -0.1018 -0.1593 0.6450 0.0000 0.0000
15.0000 -0.1018 -0.1593 0.9200 0.0000 0.0000
16.0000 -0.0977 -0.1593 0.3700 0.0000 0.0000
16.0000 -0.0977 -0.1593 0.6450 0.0000 0.0000
16.0000 -0.0977 -0.1593 0.9200 0.0000 0.0000
17.0000 -0.0936 -0.1593 0.3700 0.0000 0.0000
17.0000 -0.0936 -0.1593 0.6450 0.0000 0.0000
17.0000 -0.0936 -0.1593 0.9200 0.0000 0.0000
18.0000 -0.0895 -0.1593 0.3700 0.0000 0.0000
18.0000 -0.0895 -0.1593 0.6450 0.0000 0.0000
18.0000 -0.0895 -0.1593 0.9200 -18.3094 -8.4132
19.0000 -0.0855 -0.1593 0.3700 0.0000 0.0000
19.0000 -0.0855 -0.1593 0.6450 11.0999 13.2015
19.0000 -0.0855 -0.1593 0.9200 17.3756 17.6643
20.0000 -0.0814 -0.1593 0.3700 -15.3711 -6.8904
20.0000 -0.0814 -0.1593 0.6450 20.0939 19.9152
20.0000 -0.0814 -0.1593 0.9200 18.9318 19.8056
21.0000 -0.0773 -0.1593 0.3700 14.6935 15.6283
21.0000 -0.0773 -0.1593 0.6450 19.5898 20.3480
21.0000 -0.0773 -0.1593 0.9200 19.2651 20.8379
22.0000 -0.0733 -0.1593 0.3700 17.7350 18.3868
22.0000 -0.0733 -0.1593 0.6450 18.3363 20.0428
22.0000 -0.0733 -0.1593 0.9200 18.8067 21.3795
23.0000 -0.0692 -0.1593 0.3700 17.5052 19.0077
23.0000 -0.0692 -0.1593 0.6450 17.8836 20.6228
23.0000 -0.0692 -0.1593 0.9200 17.9199 21.4872
24.0000 -0.0651 -0.1593 0.3700 17.6902 19.9917
24.0000 -0.0651 -0.1593 0.6450 17.4425 21.1484
24.0000 -0.0651 -0.1593 0.9200 17.5625 21.9794
25.0000 -0.0611 -0.1593 0.3700 16.9844 20.2439
25.0000 -0.0611 -0.1593 0.6450 16.8194 21.3115
25.0000 -0.0611 -0.1593 0.9200 16.8272 22.1596
26.0000 -0.0570 -0.1593 0.3700 15.8215 20.1552
26.0000 -0.0570 -0.1593 0.6450 16.2946 21.7557
26.0000 -0.0570 -0.1593 0.9200 16.3760 22.6167
27.0000 -0.0529 -0.1593 0.3700 15.5609 20.6397
27.0000 -0.0529 -0.1593 0.6450 15.7439 22.0970
27.0000 -0.0529 -0.1593 0.9200 15.6891 22.8054
28.0000 -0.0488 -0.1593 0.3700 14.5131 20.4716
28.0000 -0.0488 -0.1593 0.6450 15.0514 22.2616
28.0000 -0.0488 -0.1593 0.9200 15.0544 23.0160
29.0000 -0.0448 -0.1593 0.3700 14.5591 21.4675
29.0000 -0.0448 -0.1593 0.6450 14.4477 22.4958
29.0000 -0.0448 -0.1593 0.9200 14.3860 23.1983
30.0000 -0.0407 -0.1593 0.3700 13.9742 21.7647
30.0000 -0.0407 -0.1593 0.6450 13.7392 22.6171
30.0000 -0.0407 -0.1593 0.9200 13.7071 23.3580
31.0000 -0.0366 -0.1593 0.3700 13.3904 22.0239
31.0000 -0.0366 -0.1593 0.6450 13.1328 22.8590
31.0000 -0.0366 -0.1593 0.9200 13.0306 23.4983
32.0000 -0.0326 -0.1593 0.3700 11.9929 21.2547
32.0000 -0.0326 -0.1593 0.6450 12.4677 23.0064
32.0000 -0.0326 -0.1593 0.9200 12.3802 23.6546
33.0000 -0.0285 -0.1593 0.3700 11.4210 21.4371
33.0000 -0.0285 -0.1593 0.6450 11.8230 23.1645
33.0000 -0.0285 -0.1593 0.9200 11.7511 23.8255
34.0000 -0.0244 -0.1593 0.3700 11.4281 22.5786
34.0000 -0.0244 -0.1593 0.6450 11.1976 23.3363
34.0000 -0.0244 -0.1593 0.9200 11.1384 24.0079
35.0000 -0.0204 -0.1593 0.3700 10.8802 22.8813
35.0000 -0.0204 -0.1593 0.6450 10.5876 23.5197
35.0000 -0.0204 -0.1593 0.9200 10.5382 24.1992
36.0000 -0.0163 -0.1593 0.3700 10.2730 23.0651
36.0000 -0.0163 -0.1593 0.6450 9.9894 23.7123
