Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
1.0000 -0.1180 -0.1186 0.3700 0.0000 0.0000
1.0000 -0.1180 -0.1186 0.6450 0.0000 0.0000
1.0000 -0.1180 -0.1186 0.9200 0.0000 0.0000
2.0000 -0.1140 -0.1186 0.3700 0.0000 0.0000
2.0000 -0.1140 -0.1186 0.6450 0.0000 0.0000
2.0000 -0.1140 -0.1186 0.9200 0.0000 0.0000
3.0000 -0.1099 -0.1186 0.3700 0.0000 0.0000
3.0000 -0.1099 -0.1186 0.6450 0.0000 0.0000
3.0000 -0.1099 -0.1186 0.9200 0.0000 0.0000
4.0000 -0.1058 -0.1186 0.3700 0.0000 0.0000
4.0000 -0.1058 -0.1186 0.6450 0.0000 0.0000
4.0000 -0.1058 -0.1186 0.9200 0.0000 0.0000
5.0000 -0.1018 -0.1186 0.3700 19.4928 10.0757
5.0000 -0.1018 -0.1186 0.6450 0.0000 0.0000
5.0000 -0.1018 -0.1186 0.9200 0.0000 0.0000
6.0000 -0.0977 -0.1186 0.3700 18.9647 10.4197
6.0000 -0.0977 -0.1186 0.6450 19.0226 11.9740
6.0000 -0.0977 -0.1186 0.9200 0.0000 0.0000
7.0000 -0.0936 -0.1186 0.3700 18.4301 10.7562
7.0000 -0.0936 -0.1186 0.6450 18.4664 12.2995
7.0000 -0.0936 -0.1186 0.9200 18.5042 13.1866
8.0000 -0.0895 -0.1186 0.3700 17.8975 11.0908
8.0000 -0.0895 -0.1186 0.6450 17.9146 12.6136
8.0000 -0.0895 -0.1186 0.9200 17.9509 13.4988
9.0000 -0.0855 -0.1186 0.3700 17.3504 11.4132
9.0000 -0.0855 -0.1186 0.6450 17.3594 12.9206
9.0000 -0.0855 -0.1186 0.9200 17.3931 13.8024
10.0000 -0.0814 -0.1186 0.3700 16.7990 11.7286
10.0000 -0.0814 -0.1186 0.6450 16.8034 13.2226
10.0000 -0.0814 -0.1186 0.9200 16.8372 14.1028
11.0000 -0.0773 -0.1186 0.3700 16.2469 12.0388
11.0000 -0.0773 -0.1186 0.6450 16.2465 13.5191
11.0000 -0.0773 -0.1186 0.9200 16.2774 14.3950
12.0000 -0.0733 -0.1186 0.3700 15.6954 12.3447
12.0000 -0.0733 -0.1186 0.6450 15.6930 13.8135
12.0000 -0.0733 -0.1186 0.9200 15.7185 14.6836
13.0000 -0.0692 -0.1186 0.3700 15.1424 12.6457
13.0000 -0.0692 -0.1186 0.6450 15.1384 14.1026
13.0000 -0.0692 -0.1186 0.9200 15.1607 14.9677
