Geometric Encircled Energy

File : Z:\Dropbox\zemax_runs\RUN_59J-CONSTRUCTION-glass.ZMX
Title: Triple Prism
Date : 11/3/2011


Surface: Image
Wavelength: 0.370000
Reference: Centroid
Reference coordinate units are Millimeters
Data has not been scaled by diffraction limit.
Distance units are µm.

Field: 0.0800, 0.0650 (deg)

Reference Coordinates:  -1.138E+001  -1.428E+001
Radial distance          Fraction
          0.000          0.000000
          0.500          0.002076
          1.000          0.006147
          1.500          0.012065
          2.000          0.020467
          2.500          0.030763
          3.000          0.042893
          3.500          0.057290
          4.000          0.074004
          4.500          0.093743
          5.000          0.118105
          5.500          0.150948
          6.000          0.182682
          6.500          0.213081
          7.000          0.242198
          7.500          0.271727
          8.000          0.304320
          8.500          0.336453
          9.000          0.364698
          9.500          0.392163
         10.000          0.418424
         10.500          0.443948
         11.000          0.468909
         11.500          0.493730
         12.000          0.517165
         12.500          0.540669
         13.000          0.564303
         13.500          0.587738
         14.000          0.611191
         14.500          0.634898
         15.000          0.662258
         15.500          0.684979
         16.000          0.706159
         16.500          0.728601
         17.000          0.749668
         17.500          0.769609
         18.000          0.789147
         18.500          0.808798
         19.000          0.828865
         19.500          0.847352
         20.000          0.866023
         20.500          0.885081
         21.000          0.898708
         21.500          0.906155
         22.000          0.912008
         22.500          0.918335
         23.000          0.923777
         23.500          0.928534
         24.000          0.933899
         24.500          0.939090
         25.000          0.943904
         25.500          0.948554
         26.000          0.952624
         26.500          0.956500
         27.000          0.960957
         27.500          0.964906
         28.000          0.967925
         28.500          0.970910
         29.000          0.973983
         29.500          0.977006
         30.000          0.979927
         30.500          0.981889
         31.000          0.984051
         31.500          0.985904
         32.000          0.987622
         32.500          0.989029
         33.000          0.989952
         33.500          0.990627
         34.000          0.991185
         34.500          0.991719
         35.000          0.992142
         35.500          0.993055
         36.000          0.993734
         36.500          0.994260
         37.000          0.994600
         37.500          0.995173
         38.000          0.995762
         38.500          0.996065
         39.000          0.996547
         39.500          0.997092
         40.000          0.997433
         40.500          0.997791
         41.000          0.997955
         41.500          0.998108
         42.000          0.998518
         42.500          0.999026
         43.000          0.999304
         43.500          0.999428
         44.000          0.999542
         44.500          0.999642
         45.000          1.000000
         45.500          1.000000
         46.000          1.000000
         46.500          1.000000
         47.000          1.000000
         47.500          1.000000
         48.000          1.000000
         48.500          1.000000
         49.000          1.000000
         49.500          1.000000
         50.000          1.000000
         50.500          1.000000
         51.000          1.000000
         51.500          1.000000
         52.000          1.000000
         52.500          1.000000
         53.000          1.000000
         53.500          1.000000
         54.000          1.000000
         54.500          1.000000
         55.000          1.000000
