Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
1.0000 -0.1253 -0.1247 0.3700 0.0000 0.0000
1.0000 -0.1253 -0.1247 0.6450 0.0000 0.0000
1.0000 -0.1253 -0.1247 0.9200 0.0000 0.0000
2.0000 -0.1253 -0.1204 0.3700 0.0000 0.0000
2.0000 -0.1253 -0.1204 0.6450 0.0000 0.0000
2.0000 -0.1253 -0.1204 0.9200 0.0000 0.0000
3.0000 -0.1253 -0.1161 0.3700 0.0000 0.0000
3.0000 -0.1253 -0.1161 0.6450 0.0000 0.0000
3.0000 -0.1253 -0.1161 0.9200 0.0000 0.0000
4.0000 -0.1253 -0.1118 0.3700 0.0000 0.0000
4.0000 -0.1253 -0.1118 0.6450 0.0000 0.0000
4.0000 -0.1253 -0.1118 0.9200 0.0000 0.0000
5.0000 -0.1253 -0.1075 0.3700 0.0000 0.0000
5.0000 -0.1253 -0.1075 0.6450 0.0000 0.0000
5.0000 -0.1253 -0.1075 0.9200 0.0000 0.0000
6.0000 -0.1253 -0.1032 0.3700 0.0000 0.0000
6.0000 -0.1253 -0.1032 0.6450 0.0000 0.0000
6.0000 -0.1253 -0.1032 0.9200 0.0000 0.0000
7.0000 -0.1253 -0.0989 0.3700 0.0000 0.0000
7.0000 -0.1253 -0.0989 0.6450 0.0000 0.0000
7.0000 -0.1253 -0.0989 0.9200 0.0000 0.0000
8.0000 -0.1253 -0.0946 0.3700 0.0000 0.0000
8.0000 -0.1253 -0.0946 0.6450 0.0000 0.0000
8.0000 -0.1253 -0.0946 0.9200 0.0000 0.0000
9.0000 -0.1253 -0.0903 0.3700 20.0462 8.8877
9.0000 -0.1253 -0.0903 0.6450 0.0000 0.0000
9.0000 -0.1253 -0.0903 0.9200 0.0000 0.0000
10.0000 -0.1253 -0.0860 0.3700 19.9403 8.2336
10.0000 -0.1253 -0.0860 0.6450 19.9911 9.8870
10.0000 -0.1253 -0.0860 0.9200 20.0357 10.8113
11.0000 -0.1253 -0.0817 0.3700 19.8343 7.5734
11.0000 -0.1253 -0.0817 0.6450 19.8696 9.2470
11.0000 -0.1253 -0.0817 0.9200 19.9127 10.1757
12.0000 -0.1253 -0.0774 0.3700 19.7307 6.9078
12.0000 -0.1253 -0.0774 0.6450 19.7489 8.6011
12.0000 -0.1253 -0.0774 0.9200 19.7901 9.5334
13.0000 -0.1253 -0.0731 0.3700 19.6152 6.2334
13.0000 -0.1253 -0.0731 0.6450 19.6276 7.9473
13.0000 -0.1253 -0.0731 0.9200 19.6668 8.8857
14.0000 -0.1253 -0.0688 0.3700 19.4982 5.5521
14.0000 -0.1253 -0.0688 0.6450 19.5056 7.2885
14.0000 -0.1253 -0.0688 0.9200 19.5424 8.2321
15.0000 -0.1253 -0.0645 0.3700 19.3801 4.8642
15.0000 -0.1253 -0.0645 0.6450 19.3871 6.6246
15.0000 -0.1253 -0.0645 0.9200 19.4177 7.5734
16.0000 -0.1253 -0.0602 0.3700 19.2626 4.1697
16.0000 -0.1253 -0.0602 0.6450 19.2663 5.9549
16.0000 -0.1253 -0.0602 0.9200 19.2938 6.9097
17.0000 -0.1253 -0.0559 0.3700 19.1448 3.4697
17.0000 -0.1253 -0.0559 0.6450 19.1447 5.2795
17.0000 -0.1253 -0.0559 0.9200 19.1720 6.2413
18.0000 -0.1253 -0.0516 0.3700 19.0276 2.7630
18.0000 -0.1253 -0.0516 0.6450 19.0240 4.5983
18.0000 -0.1253 -0.0516 0.9200 19.0509 5.5675
19.0000 -0.1253 -0.0473 0.3700 18.9094 2.0494
19.0000 -0.1253 -0.0473 0.6450 18.9038 3.9113
19.0000 -0.1253 -0.0473 0.9200 18.9303 4.8879
20.0000 -0.1253 -0.0430 0.3700 18.7901 1.3291
20.0000 -0.1253 -0.0430 0.6450 18.7840 3.2183
20.0000 -0.1253 -0.0430 0.9200 18.8078 4.2027
21.0000 -0.1253 -0.0387 0.3700 18.6698 0.6021
21.0000 -0.1253 -0.0387 0.6450 18.6628 2.5193
21.0000 -0.1253 -0.0387 0.9200 18.6862 3.5117
22.0000 -0.1253 -0.0344 0.3700 18.5503 -0.1317
22.0000 -0.1253 -0.0344 0.6450 18.5425 1.8141
22.0000 -0.1253 -0.0344 0.9200 18.5655 2.8147
23.0000 -0.1253 -0.0301 0.3700 18.4314 -0.8726
23.0000 -0.1253 -0.0301 0.6450 18.4230 1.1026
23.0000 -0.1253 -0.0301 0.9200 18.4455 2.1115
24.0000 -0.1253 -0.0258 0.3700 18.3130 -1.6204
24.0000 -0.1253 -0.0258 0.6450 18.3042 0.3845
24.0000 -0.1253 -0.0258 0.9200 18.3263 1.4020
25.0000 -0.1253 -0.0215 0.3700 18.1943 -2.3756
25.0000 -0.1253 -0.0215 0.6450 18.1860 -0.3404
25.0000 -0.1253 -0.0215 0.9200 18.2077 0.6861
26.0000 -0.1253 -0.0172 0.3700 18.0763 -3.1384
26.0000 -0.1253 -0.0172 0.6450 18.0685 -1.0722
26.0000 -0.1253 -0.0172 0.9200 18.0898 -0.0366
27.0000 -0.1253 -0.0129 0.3700 17.9589 -3.9091
27.0000 -0.1253 -0.0129 0.6450 17.9516 -1.8112
27.0000 -0.1253 -0.0129 0.9200 17.9726 -0.7662
28.0000 -0.1253 -0.0086 0.3700 17.8420 -4.6879
28.0000 -0.1253 -0.0086 0.6450 17.8353 -2.5575
28.0000 -0.1253 -0.0086 0.9200 17.8561 -1.5029
29.0000 -0.1253 -0.0043 0.3700 17.7256 -5.4750
29.0000 -0.1253 -0.0043 0.6450 17.7196 -3.3115
29.0000 -0.1253 -0.0043 0.9200 17.7403 -2.2469
30.0000 -0.1253 0.0000 0.3700 17.6097 -6.2708
30.0000 -0.1253 0.0000 0.6450 17.6045 -4.0733
30.0000 -0.1253 0.0000 0.9200 17.6251 -2.9986
31.0000 -0.1253 0.0043 0.3700 17.4943 -7.0756
31.0000 -0.1253 0.0043 0.6450 17.4900 -4.8433
31.0000 -0.1253 0.0043 0.9200 17.5105 -3.7580
32.0000 -0.1253 0.0086 0.3700 17.3792 -7.8896
32.0000 -0.1253 0.0086 0.6450 17.3761 -5.6217
32.0000 -0.1253 0.0086 0.9200 17.3966 -4.5256
33.0000 -0.1253 0.0129 0.3700 17.2646 -8.7131
33.0000 -0.1253 0.0129 0.6450 17.2627 -6.4087
33.0000 -0.1253 0.0129 0.9200 17.2834 -5.3016
34.0000 -0.1253 0.0172 0.3700 17.1504 -9.5466
34.0000 -0.1253 0.0172 0.6450 17.1499 -7.2047
34.0000 -0.1253 0.0172 0.9200 17.1708 -6.0863
35.0000 -0.1253 0.0215 0.3700 17.0365 -10.3904
35.0000 -0.1253 0.0215 0.6450 17.0377 -8.0101
35.0000 -0.1253 0.0215 0.9200 17.0588 -6.8799
36.0000 -0.1253 0.0258 0.3700 16.9231 -11.2448
36.0000 -0.1253 0.0258 0.6450 16.9259 -8.8251
36.0000 -0.1253 0.0258 0.9200 16.9474 -7.6829
37.0000 -0.1253 0.0301 0.3700 16.8088 -12.1092
37.0000 -0.1253 0.0301 0.6450 16.8147 -9.6500
37.0000 -0.1253 0.0301 0.9200 16.8366 -8.4956
38.0000 -0.1253 0.0344 0.3700 16.6946 -12.9852
38.0000 -0.1253 0.0344 0.6450 16.7040 -10.4854
38.0000 -0.1253 0.0344 0.9200 16.7264 -9.3183
39.0000 -0.1253 0.0387 0.3700 16.5804 -13.8725
39.0000 -0.1253 0.0387 0.6450 16.5939 -11.3317
39.0000 -0.1253 0.0387 0.9200 16.6169 -10.1514
40.0000 -0.1253 0.0430 0.3700 16.4728 -14.7776
40.0000 -0.1253 0.0430 0.6450 16.4843 -12.1893
40.0000 -0.1253 0.0430 0.9200 16.5079 -10.9955
41.0000 -0.1253 0.0473 0.3700 16.3724 -15.7020
41.0000 -0.1253 0.0473 0.6450 16.3732 -13.0567
41.0000 -0.1253 0.0473 0.9200 16.3997 -11.8510
42.0000 -0.1253 0.0516 0.3700 16.2781 -16.6481
42.0000 -0.1253 0.0516 0.6450 16.2622 -13.9358
42.0000 -0.1253 0.0516 0.9200 16.2896 -12.7159
43.0000 -0.1253 0.0559 0.3700 16.1957 -17.6260
43.0000 -0.1253 0.0559 0.6450 16.1546 -14.8276
43.0000 -0.1253 0.0559 0.9200 16.1799 -13.5923
44.0000 -0.1253 0.0602 0.3700 0.0000 0.0000
44.0000 -0.1253 0.0602 0.6450 16.0511 -15.7358
44.0000 -0.1253 0.0602 0.9200 16.0716 -14.4813
45.0000 -0.1253 0.0645 0.3700 0.0000 0.0000
45.0000 -0.1253 0.0645 0.6450 15.9534 -16.6641
45.0000 -0.1253 0.0645 0.9200 15.9667 -15.3841
46.0000 -0.1253 0.0688 0.3700 0.0000 0.0000
46.0000 -0.1253 0.0688 0.6450 15.8625 -17.6178
46.0000 -0.1253 0.0688 0.9200 15.8650 -16.3041
47.0000 -0.1253 0.0731 0.3700 0.0000 0.0000
47.0000 -0.1253 0.0731 0.6450 0.0000 0.0000
47.0000 -0.1253 0.0731 0.9200 15.7656 -17.2412
48.0000 -0.1253 0.0774 0.3700 0.0000 0.0000
48.0000 -0.1253 0.0774 0.6450 0.0000 0.0000
48.0000 -0.1253 0.0774 0.9200 15.6872 -18.2090
49.0000 -0.1253 0.0817 0.3700 0.0000 0.0000
49.0000 -0.1253 0.0817 0.6450 0.0000 0.0000
49.0000 -0.1253 0.0817 0.9200 0.0000 0.0000
50.0000 -0.1253 0.0860 0.3700 0.0000 0.0000
50.0000 -0.1253 0.0860 0.6450 0.0000 0.0000
50.0000 -0.1253 0.0860 0.9200 0.0000 0.0000
51.0000 -0.1253 0.0903 0.3700 0.0000 0.0000
51.0000 -0.1253 0.0903 0.6450 0.0000 0.0000
51.0000 -0.1253 0.0903 0.9200 0.0000 0.0000
52.0000 -0.1253 0.0946 0.3700 0.0000 0.0000
52.0000 -0.1253 0.0946 0.6450 0.0000 0.0000
52.0000 -0.1253 0.0946 0.9200 0.0000 0.0000
53.0000 -0.1253 0.0989 0.3700 0.0000 0.0000
53.0000 -0.1253 0.0989 0.6450 0.0000 0.0000
53.0000 -0.1253 0.0989 0.9200 0.0000 0.0000
54.0000 -0.1253 0.1032 0.3700 0.0000 0.0000
54.0000 -0.1253 0.1032 0.6450 0.0000 0.0000
54.0000 -0.1253 0.1032 0.9200 0.0000 0.0000
55.0000 -0.1253 0.1075 0.3700 0.0000 0.0000
55.0000 -0.1253 0.1075 0.6450 0.0000 0.0000
55.0000 -0.1253 0.1075 0.9200 0.0000 0.0000
56.0000 -0.1253 0.1118 0.3700 0.0000 0.0000
56.0000 -0.1253 0.1118 0.6450 0.0000 0.0000
56.0000 -0.1253 0.1118 0.9200 0.0000 0.0000
57.0000 -0.1253 0.1161 0.3700 0.0000 0.0000
57.0000 -0.1253 0.1161 0.6450 0.0000 0.0000
57.0000 -0.1253 0.1161 0.9200 0.0000 0.0000
58.0000 -0.1253 0.1204 0.3700 0.0000 0.0000
58.0000 -0.1253 0.1204 0.6450 0.0000 0.0000
58.0000 -0.1253 0.1204 0.9200 0.0000 0.0000
59.0000 -0.1253 0.1247 0.3700 0.0000 0.0000
59.0000 -0.1253 0.1247 0.6450 0.0000 0.0000
59.0000 -0.1253 0.1247 0.9200 0.0000 0.0000
60.0000 -0.1253 0.1290 0.3700 0.0000 0.0000
60.0000 -0.1253 0.1290 0.6450 0.0000 0.0000
60.0000 -0.1253 0.1290 0.9200 0.0000 0.0000
61.0000 -0.1216 -0.1226 0.3700 0.0000 0.0000
61.0000 -0.1216 -0.1226 0.6450 0.0000 0.0000
61.0000 -0.1216 -0.1226 0.9200 0.0000 0.0000
62.0000 -0.1216 -0.1183 0.3700 0.0000 0.0000
62.0000 -0.1216 -0.1183 0.6450 0.0000 0.0000
62.0000 -0.1216 -0.1183 0.9200 0.0000 0.0000
63.0000 -0.1216 -0.1140 0.3700 0.0000 0.0000
63.0000 -0.1216 -0.1140 0.6450 0.0000 0.0000
63.0000 -0.1216 -0.1140 0.9200 0.0000 0.0000
64.0000 -0.1216 -0.1097 0.3700 0.0000 0.0000
64.0000 -0.1216 -0.1097 0.6450 0.0000 0.0000
64.0000 -0.1216 -0.1097 0.9200 0.0000 0.0000
65.0000 -0.1216 -0.1054 0.3700 0.0000 0.0000
65.0000 -0.1216 -0.1054 0.6450 0.0000 0.0000
65.0000 -0.1216 -0.1054 0.9200 0.0000 0.0000
66.0000 -0.1216 -0.1011 0.3700 0.0000 0.0000
66.0000 -0.1216 -0.1011 0.6450 0.0000 0.0000
66.0000 -0.1216 -0.1011 0.9200 0.0000 0.0000
67.0000 -0.1216 -0.0968 0.3700 19.6918 10.0788
67.0000 -0.1216 -0.0968 0.6450 0.0000 0.0000
67.0000 -0.1216 -0.0968 0.9200 0.0000 0.0000
68.0000 -0.1216 -0.0925 0.3700 19.5810 9.4406
68.0000 -0.1216 -0.0925 0.6450 19.6472 11.0564
68.0000 -0.1216 -0.0925 0.9200 0.0000 0.0000
69.0000 -0.1216 -0.0882 0.3700 19.4783 8.7916
69.0000 -0.1216 -0.0882 0.6450 19.5231 10.4284
69.0000 -0.1216 -0.0882 0.9200 19.5564 11.3420
70.0000 -0.1216 -0.0839 0.3700 19.3795 8.1383
70.0000 -0.1216 -0.0839 0.6450 19.4028 9.7911
70.0000 -0.1216 -0.0839 0.9200 19.4362 10.7108
71.0000 -0.1216 -0.0796 0.3700 19.2626 7.4732
71.0000 -0.1216 -0.0796 0.6450 19.2787 9.1454
71.0000 -0.1216 -0.0796 0.9200 19.3144 10.0711
72.0000 -0.1216 -0.0753 0.3700 19.1444 6.8016
72.0000 -0.1216 -0.0753 0.6450 19.1558 8.4951
72.0000 -0.1216 -0.0753 0.9200 19.1883 9.4257
73.0000 -0.1216 -0.0710 0.3700 19.0297 6.1245
73.0000 -0.1216 -0.0710 0.6450 19.0345 7.8398
73.0000 -0.1216 -0.0710 0.9200 19.0630 8.7757
74.0000 -0.1216 -0.0667 0.3700 18.9125 5.4414
74.0000 -0.1216 -0.0667 0.6450 18.9128 7.1791
74.0000 -0.1216 -0.0667 0.9200 18.9382 8.1207
75.0000 -0.1216 -0.0624 0.3700 18.7933 4.7509
75.0000 -0.1216 -0.0624 0.6450 18.7918 6.5131
75.0000 -0.1216 -0.0624 0.9200 18.8156 7.4613
76.0000 -0.1216 -0.0581 0.3700 18.6735 4.0544
76.0000 -0.1216 -0.0581 0.6450 18.6689 5.8413
76.0000 -0.1216 -0.0581 0.9200 18.6949 6.7968
77.0000 -0.1216 -0.0538 0.3700 18.5542 3.3516
77.0000 -0.1216 -0.0538 0.6450 18.5476 5.1642
77.0000 -0.1216 -0.0538 0.9200 18.5721 6.1267
78.0000 -0.1216 -0.0495 0.3700 18.4328 2.6424
78.0000 -0.1216 -0.0495 0.6450 18.4259 4.4812
78.0000 -0.1216 -0.0495 0.9200 18.4488 5.4511
79.0000 -0.1216 -0.0452 0.3700 18.3132 1.9266
79.0000 -0.1216 -0.0452 0.6450 18.3041 3.7926
79.0000 -0.1216 -0.0452 0.9200 18.3265 4.7700
80.0000 -0.1216 -0.0409 0.3700 18.1939 1.2045
80.0000 -0.1216 -0.0409 0.6450 18.1832 3.0980
80.0000 -0.1216 -0.0409 0.9200 18.2050 4.0833
81.0000 -0.1216 -0.0366 0.3700 18.0732 0.4759
81.0000 -0.1216 -0.0366 0.6450 18.0629 2.3974
81.0000 -0.1216 -0.0366 0.9200 18.0842 3.3907
